country,location_name,latitude,longitude,timezone,temperature_celsius,condition_text,wind_mph,wind_kph,wind_direction,precip_mm,precip_in,humidity,cloud,feels_like_celsius,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_us-epa-index,air_quality_gb-defra-index
Afghanistan,Kabul,34.52,69.18,Asia/Kabul,28.8,Sunny,7.2,11.5,ENE,0,0,19,0,26.7,647.5,130.2,1.2,1,1
Albania,Tirana,41.33,19.82,Europe/Tirane,27,Partly cloudy,3.8,6.1,SSW,0,0,54,75,28,433.9,104.4,3.6,2,3
Algeria,Algiers,36.76,3.05,Africa/Algiers,28,Partly cloudy,8.1,13,WSW,0,0,30,25,27.4,647.5,16.6,63.1,1,1
Andorra,Andorra La Vella,42.5,1.52,Europe/Andorra,10.2,Sunny,6,9.7,NNW,0,0,51,6,8.9,190.3,68,0.2,1,1
Angola,Luanda,-8.84,13.23,Africa/Luanda,25,Partly cloudy,2.2,3.6,W,0,0,69,75,26.9,2136.2,147.3,52.8,4,10
Antigua and Barbuda,Saint John's,17.12,-61.85,America/Antigua,29,Light rain,9.4,15.1,E,0.3,0.01,79,75,34,200.3,16.6,0.5,1,1
Argentina,Buenos Aires,-34.59,-58.67,America/Argentina/Buenos_Aires,9,Clear,6.9,11.2,ENE,0,0,71,0,8,270.4,18.8,10.7,1,1
Armenia,Yerevan,40.18,44.51,Asia/Yerevan,31,Partly cloudy,5.6,9,S,0,0,26,25,29,212,121.6,1,1,1
Australia,Canberra,-35.28,149.22,Australia/Sydney,13,Clear,9.4,15.1,N,0,0,62,0,12.7,203.6,44,3.5,1,1
Austria,Vienna,48.2,16.37,Europe/Vienna,16,Light rain,11.9,19.1,NW,0,0,82,75,16,320.4,30,29.1,1,2
Azerbaijan,Baku,40.4,49.88,Asia/Baku,31,Sunny,13.6,22,N,0,0,36,0,32.7,230.3,101.6,2.4,1,1
Bahamas,Nassau,25.08,-77.35,America/Nassau,29.8,Clear,8.9,14.4,SW,0,0,80,8,36.6,220.3,29.3,1,1,1
Bahrain,Manama,26.24,50.58,Asia/Bahrain,38,Sunny,8.1,13,ENE,0,0,54,0,47.8,360.5,254.6,5.7,4,9
Bangladesh,Dhaka,23.72,90.41,Asia/Dhaka,34,Cloudy,3.4,5.4,W,0,0,52,70,39.6,827.8,45.8,59,4,10
Barbados,Bridgetown,13.1,-59.62,America/Barbados,27,Partly cloudy,16.1,25.9,E,0.4,0.02,89,25,30,201.9,17.7,0.8,1,1
Belarus,Minsk,53.9,27.57,Europe/Minsk,22,Sunny,6.9,11.2,E,0,0,61,0,24.4,210.3,94.4,2.4,1,1
Belgium,Brussels,50.83,4.33,Europe/Brussels,16,Partly cloudy,3.8,6.1,WSW,0,0,82,25,16,247,40.8,28.8,2,2
Belize,Belmopan,17.25,-88.77,America/Belize,23.6,Patchy rain possible,4.3,6.8,SW,0.7,0.03,95,70,26.1,161.9,6.6,0.4,1,1
Benin,Porto-Novo,6.48,2.62,Africa/Porto-Novo,28,Partly cloudy,10.5,16.9,SW,0,0,84,50,31,560.8,20.6,4.1,1,2
Bhutan,Thimphu,27.48,89.6,Asia/Thimphu,17.1,Patchy rain possible,5.4,8.6,SSW,1.3,0.05,75,83,17.1,400.5,47.2,0.1,1,1
Bolivia,Sucre,-19.04,-65.26,America/La_Paz,10.8,Clear,2.2,3.6,W,0,0,38,0,11.2,155.2,41.5,1,1,1
Bosnia and Herzegovina,Sarajevo,43.85,18.38,Europe/Sarajevo,23,Partly cloudy,18.6,29.9,SE,0,0,47,50,24.6,237,85.8,0.9,1,1
Botswana,Gaborone,-24.65,25.91,Africa/Gaborone,18.4,Sunny,9.4,15.1,NE,0,0,35,6,18.4,460.6,85.8,1.4,2,2
Brazil,Bras,-2.08,-58.17,America/Manaus,23.8,Clear,3.1,5,E,0,0,54,8,25.2,317.1,19.5,0.5,1,1
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,Asia/Brunei,31,Partly cloudy,6.9,11.2,W,0.4,0.02,79,75,37.4,283.7,28.6,1.2,1,1
Bulgaria,Sofia,42.68,23.32,Europe/Sofia,28,Partly cloudy,9.4,15.1,E,0.1,0,40,25,27.2,240.3,101.6,1.3,1,1
Burkina Faso,Ouagadougou,12.37,-1.52,Africa/Ouagadougou,28,Partly cloudy,4.3,6.8,SSW,0,0,79,25,30.2,814.4,18.2,4.6,2,2
Burundi,Bujumbura,-3.38,29.36,Africa/Bujumbura,28.9,Partly cloudy,10.5,16.9,SSW,0,0,34,25,28.2,337.1,64.4,0.9,1,1
Madagascar,Ivory,-24.37,46.45,Indian/Antananarivo,22.9,Sunny,6.3,10.1,ESE,0,0,35,0,24,201.9,63.7,0.1,1,1
Cape Verde,Praia,14.93,-23.51,Atlantic/Cape_Verde,28,Partly cloudy,9.4,15.1,NNE,0,0,74,25,31.6,188.6,52.2,0.6,2,3
Cambodia,Phnom Penh,11.55,104.92,Asia/Phnom_Penh,30,Moderate or heavy rain with thunder,6.9,11.2,NW,0,0,75,75,30.3,310.4,24,2.8,1,1
Cameroon,Bafoussam,5.47,10.42,Africa/Douala,23.9,Patchy rain possible,2.2,3.6,WSW,0.8,0.03,78,89,25.8,721,9.1,2.8,2,2
Canada,Ottawa,45.42,-75.7,America/Toronto,11,Clear,4.3,6.8,SSW,0,0,100,0,11.4,205.3,17.7,2.5,1,1
Central African Republic,Bangui,4.37,18.58,Africa/Bangui,26.3,Partly cloudy,2.2,3.6,SSW,0,0,80,39,29,260.4,1,0.1,1,1
Chad,N'djamena,12.11,15.05,Africa/Douala,32,Sunny,11.9,19.1,SW,0,0,67,0,38.7,534.1,20.2,0.9,1,1
Chile,Santiago,-33.45,-70.67,America/Santiago,5,Clear,3.8,6.1,NE,0,0,87,0,3.6,5500.8,0,57.6,6,10
China,Beijing,39.93,116.39,Asia/Shanghai,28,Sunny,4.3,6.8,NE,0,0,37,0,28.2,420.6,140.2,56.9,2,3
Bulgaria,Bogot,43.32,24.7,Europe/Sofia,36.4,Sunny,7.4,11.9,SE,0,0,17,4,35,201.9,97.3,0.5,1,1
Comoros,Moroni,-11.7,43.24,Indian/Comoro,24,Partly cloudy,15,24.1,SSW,3,0.12,83,75,26,227,67.2,0.2,1,1
Congo,Brazzaville,-4.26,15.28,Africa/Brazzaville,31.1,Partly cloudy,5.6,9,SW,0,0,51,62,33.4,540.7,38.6,2,1,1
Costa Rica,San Juan,9.97,-84.08,America/Costa_Rica,21,Clear,3.8,6.1,NW,0,0,94,0,21,1028.1,0,13.2,3,5
Croatia,Zagreb,45.8,16,Europe/Zagreb,23,Partly cloudy,2.2,3.6,S,0,0,69,25,24.8,247,83.7,2.1,1,1
Cuba,Havana,23.13,-82.36,America/Havana,26,Partly cloudy,9.4,15.1,SSE,0,0,100,75,28.9,277,24.3,5.2,1,1
Cyprus,Nicosia,35.17,33.37,Asia/Nicosia,35,Partly cloudy,6.9,11.2,N,0,0,35,25,37.1,233.7,110.2,0.4,1,2
Czech Republic,Prague,50.08,14.47,Europe/Prague,13,Overcast,5.6,9,NW,0.1,0,94,100,12.5,217,53.6,6.4,1,1
Democratic Republic of Congo,Kinshasa,-4.3,15.3,Africa/Brazzaville,31.1,Partly cloudy,5.6,9,SW,0,0,50,60,33.4,540.7,38.6,2,1,1
Denmark,Copenhagen,55.67,12.58,Europe/Copenhagen,17,Sunny,4.3,6.8,N,0,0,72,0,17,237,61.5,4.8,1,1
Djibouti,Djibouti,11.6,43.15,Africa/Djibouti,42,Mist,9.4,15.1,WSW,0,0,29,25,59.1,347.1,61.5,0.3,1,1
Dominica,Roseau,15.3,-61.4,America/Dominica,28.2,Light rain shower,12.3,19.8,E,0.6,0.02,79,62,32.6,178.6,18.8,0.4,1,1
Dominican Republic,Santo Domingo,18.47,-69.9,America/Santo_Domingo,26,Partly cloudy,4.3,6.8,ESE,0,0,94,25,30.6,514,0,9.1,1,2
Ecuador,Quito,-0.22,-78.5,America/Guayaquil,8.9,Clear,4.3,6.8,SE,0,0,62,6,8,1976,0,54.8,2,2
Egypt,Cairo,30.05,31.25,Africa/Cairo,31,Partly cloudy,11.9,19.1,NW,0,0,46,50,34.3,260.4,44,17,2,4
El Salvador,San Salvador,13.71,-89.2,America/El_Salvador,26,Light rain,4.3,6.8,NE,0,0,94,50,30.2,300.4,3.9,7,2,2
Equatorial Guinea,Malabo,3.75,8.78,Africa/Malabo,25.9,Light rain shower,5.4,8.6,W,2,0.08,81,87,28.6,343.8,34.3,0.2,1,1
Eritrea,Asmara,15.33,38.93,Africa/Asmara,25.1,Patchy rain possible,10.7,17.3,NE,0.1,0,34,87,25,243.7,37.9,0.1,1,1
Estonia,Tallinn,59.43,24.73,Europe/Tallinn,19,Partly cloudy,10.5,16.9,SSW,0,0,73,50,19,208.6,103,1,1,1
Swaziland,Mbabane,-26.32,31.13,Africa/Mbabane,20,Sunny,2.2,3.6,ENE,0,0,49,0,20,363.8,46.5,1.7,2,2
Ethiopia,Addis Ababa,9.03,38.7,Africa/Addis_Ababa,17,Partly cloudy,8.1,13,S,2.7,0.11,83,50,17,460.6,33.3,0.7,2,2
Fiji Islands,Suva,-18.13,178.42,Pacific/Fiji,24,Partly cloudy,8.1,13,ESE,0.1,0,78,75,25.9,195.3,61.5,1.7,1,1
Finland,Helsinki,60.18,24.93,Europe/Helsinki,20,Partly cloudy,11.9,19.1,SW,0,0,64,50,20,217,70.8,3.8,1,1
France,Paris,48.87,2.33,Europe/Paris,18,Partly cloudy,6.9,11.2,WSW,0,0,64,25,18,223.6,70.1,4.6,1,1
Gabon,Libreville,0.38,9.45,Africa/Libreville,27,Light rain shower,5.1,8.3,S,0.2,0.01,74,56,29.6,507.4,26.1,3.6,1,1
Gambia,Banjul,13.45,-16.58,Africa/Banjul,27,Partly cloudy,9.4,15.1,S,0.7,0.03,94,75,30.4,250.3,35.4,0.4,1,1
Georgia,Tbilisi,41.73,44.79,Asia/Tbilisi,30,Sunny,8.1,13,SSE,0,0,43,0,30.2,220.3,78,1,1,1
Germany,Berlin,52.52,13.4,Europe/Berlin,16,Light rain,9.4,15.1,N,0.3,0.01,82,75,16,217,52.9,7.9,1,1
Ghana,Accra,5.55,-0.22,Africa/Accra,26,Overcast,6.9,11.2,WSW,0,0,89,100,28.4,403.9,17.9,3.4,1,1
Greece,Athens,37.98,23.72,Europe/Athens,32,Partly cloudy,6.9,11.2,E,0,0,26,25,32.3,283.7,177.4,13,2,2
Grenada,Saint George's,12.05,-61.75,America/Grenada,26,Partly cloudy,12.5,20.2,ENE,0.4,0.02,94,50,28.6,186.9,17.4,0.7,1,1
Guatemala,Guatemala City,14.62,-90.53,America/Guatemala,17,Mist,2.2,3.6,WSW,0,0,96,57,17,1241.7,1.1,17.3,4,10
Guinea,Conakry,9.51,-13.71,Africa/Conakry,25,Partly cloudy,4.3,6.8,ESE,2.5,0.1,100,75,27.2,433.9,27.9,0.4,1,1
Guinea-Bissau,Bissau,11.85,-15.58,Africa/Bissau,28,Light rain,6.9,11.2,S,0.5,0.02,84,50,32.3,273.7,15.7,0.7,1,1
Guyana,Georgetown,6.8,-58.17,America/Guyana,24,Mist,2.2,3.6,N,1.8,0.07,100,75,26.3,207,13.6,1.3,1,1
Haiti,Port-Au-Prince,18.54,-72.34,America/Port-au-Prince,27,Clear,9.4,15.1,ESE,0,0,89,0,32.1,560.8,27.2,9.8,1,1
Vatican City,Vatican City,41.9,12.45,Europe/Rome,21,Moderate rain,2.2,3.6,WSW,0.9,0.04,88,50,21,210.3,70.8,1.8,1,1
Honduras,Tegucigalpa,14.1,-87.22,America/Tegucigalpa,21,Partly cloudy,3.8,6.1,SE,0,0,88,75,21,178.6,16.5,0.5,1,1
Hungary,Budapest,47.5,19.08,Europe/Budapest,20,Light rain shower,6.9,11.2,SSW,0.1,0,88,75,20,240.3,83,7.7,1,2
Iceland,Hella,63.83,-20.4,Atlantic/Reykjavik,11,Sunny,4.3,6.8,E,0,0,82,0,10.5,220.3,45.1,0.2,1,1
India,New Delhi,28.6,77.2,Asia/Kolkata,34,Mist,4.3,6.8,WSW,0,0,50,50,33.4,267,95.8,4.1,2,3
Indonesia,Jakarta,-6.21,106.85,Asia/Jakarta,31,Partly cloudy,16.1,25.9,NE,0,0,63,25,33.2,1268.4,191.7,35.6,4,10
Iran,Tehran,35.73,51.33,Asia/Tehran,33,Partly cloudy,9.4,15.1,SE,0,0,15,25,30.9,370.5,135.9,40.4,2,3
Iraq,Baghdad,33.34,44.39,Asia/Baghdad,37,Sunny,6.9,11.2,NW,0,0,24,0,35.7,220.3,186,3.6,2,2
Ireland,Dublin,53.33,-6.25,Europe/Dublin,14,Partly cloudy,13.6,22,W,0,0,88,75,12.6,220.3,56.5,1.4,1,1
Israel,Jerusalem,31.78,35.23,Asia/Jerusalem,30,Partly cloudy,12.5,20.2,W,0,0,62,50,32.4,220.3,144.5,3.4,1,2
Italy,Rome,41.9,12.48,Europe/Rome,21,Moderate rain,2.2,3.6,WSW,0.9,0.04,88,50,21,210.3,70.8,1.8,1,1
Jamaica,Norman Gardens,17.97,-76.75,America/Jamaica,30,Partly cloudy,13.6,22,ESE,0,0,84,25,42.7,317.1,14.5,5.9,1,1
Japan,Tokyo,35.69,139.69,Asia/Tokyo,32,Partly cloudy,9.4,15.1,S,0,0,59,25,37.9,220.3,37.6,39.4,1,1
Jordan,Amman,31.95,35.93,Asia/Amman,27,Partly cloudy,11.9,19.1,W,0,0,51,50,27.2,230.3,131.6,1.2,1,2
Kazakhstan,Astana,51.18,71.43,Asia/Almaty,22,Partly cloudy,19.2,31,SSW,0,0,29,37,23.5,247,73.7,2.7,1,1
Kenya,Nairobi,-1.28,36.82,Africa/Nairobi,21,Partly cloudy,10.5,16.9,SSE,0,0,43,75,21,494,63.7,3.6,1,1
Kiribati,Tarawa,-0.88,169.53,Pacific/Tarawa,28.9,Light rain shower,10.3,16.6,E,0.2,0.01,77,51,33.7,170.2,12.7,0,1,1
Kuwait,Kuwait City,29.37,47.96,Asia/Kuwait,39.6,Sunny,2.2,3.6,SE,0,0,23,0,40.3,687.6,181.7,94.6,3,5
Kyrghyzstan,Bishkek,42.87,74.6,Asia/Bishkek,27.4,Sunny,6,9.7,NNE,0,0,20,19,25.6,208.6,104.4,0.8,1,1
Indonesia,Laos,-8.18,114.32,Asia/Jakarta,27.9,Sunny,7.6,12.2,SSE,0,0,60,4,29.6,380.5,73.7,2.2,1,1
Latvia,Riga,56.95,24.1,Europe/Riga,16,Light rain,5.6,9,SE,0,0,94,0,16,217,70.8,1.6,1,1
Lebanon,Beirut,33.87,35.51,Asia/Beirut,30,Partly cloudy,15,24.1,SW,0,0,62,75,34,237,108.7,0.6,2,2
Lesotho,Maseru,-29.32,27.48,Africa/Johannesburg,18.9,Sunny,2.7,4.3,W,0,0,15,0,18.9,847.8,94.4,2.8,4,9
Liberia,Monrovia,6.31,-10.8,Africa/Monrovia,25,Partly cloudy,2.2,3.6,N,1.3,0.05,94,75,27,270.4,44,0.3,1,1
Thailand,Nan,18.78,100.78,Asia/Bangkok,33,Partly cloudy,2.2,3.6,S,4.8,0.19,63,25,51.4,327.1,29,4.4,1,1
Liechtenstein,Vaduz,47.13,9.52,Europe/Vaduz,12,Light rain,4.3,6.8,E,0.2,0.01,100,75,12.5,212,36.1,5.4,1,1
Lithuania,Vilnius,54.68,25.32,Europe/Vilnius,17,Moderate or heavy rain with thunder,8.1,13,NNE,0.1,0,94,75,17,207,90.8,1.3,1,1
Luxembourg,Luxembourg,49.61,6.13,Europe/Luxembourg,16,Partly cloudy,6.9,11.2,NW,0.1,0,77,25,16,208.6,61.5,8.6,1,1
Madagascar,Antananarivo,-18.92,47.52,Indian/Antananarivo,21,Partly cloudy,15,24.1,SE,0.2,0.01,56,75,21,273.7,57.9,0.6,1,1
Malawi,Lilongwe,-13.98,33.78,Africa/Blantyre,18,Partly cloudy,11.9,19.1,SW,0,0,88,25,18,253.7,60.8,0.4,1,1
Malaysia,Kuala Lumpur,3.17,101.7,Asia/Kuala_Lumpur,27,Moderate or heavy rain with thunder,2.2,3.6,SW,1.4,0.06,89,25,29.4,7370,29.3,241.3,4,10
Maldives,Farukolhufunadhoo,6.15,73.27,Indian/Maldives,25.3,Torrential rain shower,26.6,42.8,WNW,9.4,0.37,87,100,28.1,160.2,39,0.3,1,1
Mali,Bamako,12.65,-8,Africa/Bamako,23,Light rain,8.1,13,SSW,2.3,0.09,100,25,25.1,423.9,9.8,1.8,1,1
Malta,Valletta,35.9,14.51,Europe/Malta,28,Partly cloudy,12.5,20.2,WNW,0,0,42,25,29.3,196.9,83,0.4,1,1
Marshall Islands,Majuro,7.1,171.38,Pacific/Majuro,29,Overcast,6.9,11.2,ENE,0,0,75,100,33.8,171.9,27.9,0,1,1
Mauritania,Nouakchott,18.09,-15.98,Africa/Nouakchott,28.6,Sunny,12.3,19.8,SE,0,0,70,11,32,377.2,38.6,1.5,2,2
Mauritius,Port Louis,-20.16,57.5,Indian/Mauritius,26,Partly cloudy,9.4,15.1,SSE,0,0,70,75,27.1,230.3,66.5,3,1,1
Mexico,Mexico City,19.43,-99.13,America/Mexico_City,16,Partly cloudy,6.9,11.2,WNW,0,0,77,50,16,460.6,0.4,18.9,2,2
Micronesia,Palikir,6.92,158.15,Pacific/Pohnpei,26,Light rain,3.8,6.1,NNW,0.3,0.01,100,100,28.1,171.9,10,0.1,1,1
Russia,Chi-Chi-Erh,51.7,94.45,Asia/Krasnoyarsk,36.5,Overcast,12.8,20.5,SSW,0,0,12,98,35.1,163.6,94.4,0.7,1,1
Monaco,Monaco,43.73,7.42,Europe/Monaco,22,Partly cloudy,12.5,20.2,S,0,0,73,50,24.5,213.6,70.8,3,1,1
Mongolia,Ulaanbaatar,47.92,106.92,Asia/Ulaanbaatar,26,Partly cloudy,6.9,11.2,W,0,0,32,25,29,560.8,14,47.3,2,3
Montenegro,Podgorica,42.44,19.26,Europe/Podgorica,25,Partly cloudy,2.2,3.6,S,0.3,0.01,65,50,26.3,277,105.9,0.3,1,1
Morocco,Rabat,34.03,-6.84,Africa/Casablanca,24,Sunny,6.9,11.2,W,0,0,78,0,25.6,217,85.8,0.9,1,1
Mozambique,Maputo,-25.97,32.59,Africa/Maputo,21,Partly cloudy,10.5,16.9,SE,0.1,0,64,75,21,500.7,67.2,1.9,1,1
Myanmar,Pathein,16.78,94.73,Asia/Yangon,30,Partly cloudy,10.3,16.6,W,0,0,68,62,34.7,233.7,52.9,0.4,1,1
Namibia,Windhoek,-22.57,17.08,Africa/Windhoek,20,Sunny,3.8,6.1,WNW,0,0,43,0,20,347.1,107.3,0.7,2,2
Turkey,Yaren,39.55,27.62,Europe/Istanbul,28,Sunny,2.2,3.6,NNE,0,0,55,0,27,223.6,107.3,0.6,1,1
Nepal,Kathmandu,27.72,85.32,Asia/Kathmandu,28,Partly cloudy,6.9,11.2,WNW,0.5,0.02,58,75,32,480.7,89.4,2.3,2,3
Netherlands,Amsterdam,52.37,4.89,Europe/Amsterdam,19,Partly cloudy,9.4,15.1,SSW,0,0,73,25,19,237,58.7,20.6,1,1
New Zealand,Wellington,-41.3,174.78,Pacific/Auckland,9,Clear,11.9,19.1,NNE,0,0,81,0,6.6,213.6,63.7,0.2,1,1
Nicaragua,Managua,12.15,-86.27,America/Managua,25,Partly cloudy,2.2,3.6,N,0,0,100,25,27.8,237,12,2,2,2
Niger,Niamey,13.52,2.12,Africa/Niamey,30,Sunny,11.9,19.1,WSW,0,0,62,0,31.8,500.7,26.1,0.7,1,1
Nigeria,Abuja,9.18,7.18,Africa/Lagos,28,Partly cloudy,6.9,11.2,W,0,0,74,50,31.6,594.1,25.4,0.9,1,1
North Korea,Pyongyang,39.02,125.75,Asia/Pyongyang,22,Patchy rain possible,6.3,10.1,WSW,0.1,0,88,83,24.5,460.6,14.7,42.8,2,2
Macedonia,Skopje,42,21.43,Europe/Skopje,30,Partly cloudy,2.2,3.6,NE,0,0,43,25,29.5,243.7,104.4,2.1,2,3
Norway,Oslo,59.92,10.75,Europe/Oslo,12,Moderate rain,18.6,29.9,SW,0,0,94,75,12.5,196.9,26.8,16.3,1,1
Oman,Muscat,23.61,58.59,Asia/Muscat,33,Sunny,15,24.1,NE,0,0,80,0,40.9,180.2,81.5,0.5,2,4
Pakistan,Islamabad,33.7,73.17,Asia/Karachi,31.9,Sunny,3.6,5.8,SW,0,0,45,13,33.7,1442,277.5,31.9,4,10
Palau,Adkip,7.36,134.51,Pacific/Palau,29,Partly cloudy,11.9,19.1,W,0,0,84,75,35.3,183.6,27.2,0.1,1,1
Bolivia,National,-11.18,-67.08,America/La_Paz,22.5,Clear,2.2,3.6,WNW,0,0,57,16,24.7,640.9,28.3,0.8,3,6
Panama,Panama City,8.97,-79.53,America/Panama,27,Partly cloudy,3.8,6.1,N,0.6,0.02,89,75,31.6,534.1,0.4,9.3,1,1
Papua New Guinea,Port Moresby,-9.46,147.19,Pacific/Port_Moresby,24.4,Clear,17.7,28.4,SE,0,0,80,22,26.4,200.3,50.1,2.5,1,1
Paraguay,Carreria,-21.55,-58.12,America/Asuncion,22.8,Overcast,2.9,4.7,SE,0,0,40,99,24.2,300.4,12.5,0.5,1,1
Peru,Lima,-12.05,-77.05,America/Lima,16.2,Partly cloudy,6.7,10.8,S,0,0,86,58,16.2,277,38.6,14.1,1,2
Philippines,Manila,14.6,120.98,Asia/Manila,27,Light rain,12.5,20.2,WSW,0.7,0.03,89,100,30.1,277,39.7,5.4,1,1
Poland,Warsaw,52.25,21,Europe/Warsaw,22,Partly cloudy,4.3,6.8,SE,0,0,83,75,24.5,203.6,65.8,1.8,1,1
Portugal,Lisbon,38.72,-9.13,Europe/Lisbon,21,Partly cloudy,2.2,3.6,N,0,0,69,25,21,223.6,63.7,1.9,1,1
Qatar,Doha,25.29,51.53,Asia/Qatar,38,Sunny,11.9,19.1,ESE,0,0,54,0,42.6,427.3,147.3,126.1,3,5
Romania,Bucharest,44.43,26.1,Europe/Bucharest,35,Sunny,10.5,16.9,ESE,0,0,32,0,33.6,220.3,104.4,1.6,1,1
Russia,Moscow,55.75,37.62,Europe/Moscow,16,Partly cloudy,9.4,15.1,SSE,0,0,68,75,16,287.1,25.8,35,1,1
Rwanda,Kigali,-1.95,30.06,Africa/Kigali,26,Partly cloudy,13.6,22,SSE,0,0,34,50,25.1,210.3,54.4,0.3,1,1
Saint Kitts and Nevis,Basseterre,17.3,-62.72,America/St_Kitts,28,Clear,10.5,16.9,E,0,0,84,0,32,247,14.8,0.7,1,1
Saint Lucia,Castries,14,-61,America/St_Lucia,27,Partly cloudy,16.1,25.9,ENE,0.4,0.02,89,50,30.5,191.9,20.7,0.1,1,1
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,America/St_Vincent,28.8,Patchy rain possible,18.1,29.2,ENE,0.9,0.04,78,82,33.7,186.9,20.7,0.5,1,1
Samoa,Apia,-13.83,-171.73,Pacific/Apia,26,Partly cloudy,12.5,20.2,ESE,0.6,0.02,84,75,28.7,186.9,62.2,0.3,1,1
San Marino,San Marino,43.93,12.45,Europe/Rome,21,Partly cloudy,9.4,15.1,NW,0,0,64,50,21,217,65.8,0.8,1,1
Belgium,'S-Gravenwezel,51.27,4.55,Europe/Brussels,17,Partly cloudy,4.3,6.8,W,0,0,77,25,17,223.6,46.5,17.8,1,1
Saudi Arabia,Riyadh,24.64,46.77,Asia/Riyadh,42,Sunny,5.6,9,SE,0,0,6,0,43,253.7,160.2,30.9,3,8
Senegal,Dakar,14.67,-17.44,Africa/Dakar,27,Partly cloudy,4.3,6.8,SW,3.6,0.14,89,50,30.1,300.4,33.6,0.7,1,1
Serbia,Belgrade,44.8,20.47,Europe/Belgrade,24,Partly cloudy,11.9,19.1,SE,0.1,0,65,25,25.3,243.7,91.6,3.1,1,2
Seychelles Islands,Victoria,-4.62,55.45,Indian/Mahe,26.3,Light rain shower,21.9,35.3,SSE,0.5,0.02,85,96,29.5,190.3,38.3,0.2,1,1
Sierra Leone,Freetown,8.49,-13.23,Africa/Freetown,24,Partly cloudy,2.2,3.6,SSE,1.5,0.06,100,75,26.2,343.8,19,0.6,1,1
Singapore,Singapore,1.29,103.86,Asia/Singapore,31,Partly cloudy,6.9,11.2,SSE,0.4,0.02,59,75,37.5,694.3,44.7,41.5,2,2
Slovakia,Bratislava,48.15,17.12,Europe/Bratislava,19,Light rain shower,8.1,13,WNW,0,0,88,75,19,243.7,62.9,4.7,1,2
Slovenia,Ljubljana,46.06,14.51,Europe/Ljubljana,16,Light rain shower,6.9,11.2,W,0.8,0.03,100,75,16,217,85.8,1.2,1,1
Solomon Islands,Honiara,-9.43,159.95,Pacific/Guadalcanal,27,Partly cloudy,4.3,6.8,SW,0.1,0,79,75,31,186.9,41.8,1.4,1,1
Somalia,Mogadishu,2.07,45.37,Africa/Mogadishu,29,Partly cloudy,17.4,28.1,S,0,0,84,75,33.1,186.9,30.4,0,1,1
South Africa,Pretoria,-25.75,28.19,Africa/Johannesburg,18,Sunny,4.3,6.8,NE,0,0,30,0,18,614.2,128.8,13.2,3,7
South Korea,Seoul,37.57,127,Asia/Seoul,23,Light rain,4.3,6.8,WSW,0,0,94,100,25.2,307.1,35.8,16.6,1,1
